question,answer,product,audience,jurisdiction,tags
"Has your firm ever been audited by the Securities and Exchange Commission (SEC) or by any regulatory agency in the last ten years? Has any regulatory body or market authority issued any orders or other sanctions against your firm in the last five years? If yes, please provide a description or summary of findings.", "Yes, GIA had two examinations by the SEC: one in 2018 and one in 2019. Both exams resulted in no action letters.", Core Plus, Pension, US, "compliance,audits"
"Is your firm or any affiliate the focus of any pending or ongoing litigation, formal investigation, or administrative proceedings related to money management activities? If yes, please describe.", "No.", Core Plus, Pension, US, "compliance,litigation"
"Have the principals of your firm been under investigation related to money management activities in the last five years? If yes, please explain.", "No.", Core Plus, Pension, US, "compliance,litigation"
"Does your firm or parent company run or have an interest in a securities brokerage firm? Does your firm trade for client accounts through this broker/dealer? If so, to what extent?", "No.", Core Plus, Pension, US, "compliance,disclosures"
"Describe internal controls for risk management and portfolio compliance. Be sure to include the firm’s policy on portfolio managers trading for their own accounts.", "For portfolio compliance, we use Bloomberg AIM which is a straight-through trading platform that incorporates our clients’ investment guidelines and serves as a real time compliance check. AIM provides alerts for securities that may be restricted, prohibited, or if any limitations are breached. The Chief Compliance Officer is notified automatically if a trade allocation violates a guideline, and she reviews our portfolio exposures to make sure they are compliant.", Core Plus, Pension, US, "compliance,disclosures"
"Describe internal controls for risk management and portfolio compliance. Be sure to include the firm’s policy on portfolio managers trading for their own accounts.", "Eduardo Cortes, CIO has final sign-off on all trading. Victoria Vallancourt, CCO, verifies daily that all trades are in compliance with guidelines.", Core Plus, Pension, US, "compliance,disclosures"
"Describe internal controls for risk management and portfolio compliance. Be sure to include the firm’s policy on portfolio managers trading for their own accounts.", "In addition, our proprietary portfolio monitoring system, Fixed Income Portfolio System (FIPS) provides a Guidelines Report where all client guidelines are listed and relevant exposures computed.", Core Plus, Pension, US, "compliance,disclosures"
"Describe internal controls for risk management and portfolio compliance. Be sure to include the firm’s policy on portfolio managers trading for their own accounts.", "GIA has adopted a Code of Ethics containing provisions designed to prevent improper personal trading, identify conflicts of interest and provide a means to resolve any actual or potential conflict in favor of clients. Any reportable security transaction in which an employee has a beneficial interest must be pre-cleared by the Chief Compliance Officer. The employee will notify the CCO via e-mail of the intent to trade and the CCO, will then approve (or disapprove) the trade. An electronic record of this response is in the Compliance files.", Core Plus, Pension, US, "compliance,disclosures"
"Describe internal controls for risk management and portfolio compliance. Be sure to include the firm’s policy on portfolio managers trading for their own accounts.", "All employees must direct their brokers or custodians or any persons managing the employees’ account in which any reportable securities are held to supply the Chief Compliance Officer with the employee’s monthly and quarterly brokerage statements.", Core Plus, Pension, US, "compliance,disclosures"
"Describe internal controls for risk management and portfolio compliance. Be sure to include the firm’s policy on portfolio managers trading for their own accounts.", "The Policies and Procedures are reviewed and monitored by Victoria Vallancourt and GIA’s external compliance consultant to ensure the firm’s policy is observed, implemented properly and amended or updated, as appropriate. An annual review is conducted each December.", Core Plus, Pension, US, "compliance,disclosures"
"Please provide a summary of your firm’s governance or internal control structure.", "The Firm is governed by a Board of Managers that dictates the general policies of the Firm. Business practices and employee functions are structured to ensure our fiduciary responsibilities to all our clients are met. We have an established client-oriented culture that places client interests ahead of Firm or personal interests. Internal controls have been implemented to ensure compliance with Board policies as well as government regulations.", Core Plus, Pension, US, "governance,structure"
"Please provide a summary of your firm’s governance or internal control structure.", "Our CCO is supported by an external Compliance Consultant on issues of compliance, best execution, Code of Ethics, Policies and Procedures, and regulatory and legal requirements. In addition, investment decision-making, trading, and operations are developed to ensure separation of duties in order to strengthen compliance, maintain portfolio and data integrity, and prevent unauthorized investments.", Core Plus, Pension, US, "compliance,governance,structure"
"Please provide a summary of your firm’s governance or internal control structure.", "The controls fall into the following categories: Investment Compliance, Operational Efficiency, Legal Compliance.", Core Plus, Pension, US, "compliance,governance,structure"
"Please provide a summary of your firm’s governance or internal control structure.", "Investment Compliance – To ensure all portfolios comply with guidelines and client objectives we have guideline monitoring systems and the onboarding process is controlled by the Chief Compliance Officer. In addition, we have trading rules that ensure no manager can transact independently for any account, thereby eliminating unauthorized investments;", Core Plus, Pension, US, "compliance,governance,structure"
"Please provide a summary of your firm’s governance or internal control structure.", "Operational Efficiency – All of our portfolios have a third-party custodian and under no circumstance are GIA employees able to direct the disposition of assets, other than for a delivery-versus-payment transaction. Furthermore, the Firm has strict delineation of functions and portfolio managers are not able to access the record keeping system. Finally, all portfolio holdings are always available to the CCO, our external Compliance Consultant, clients, and portfolio managers. No portfolio manager can decide on a purchase or sale without prior consultation with, at least, one other manager.", Core Plus, Pension, US, "compliance,governance,structure"
"Please provide a summary of your firm’s governance or internal control structure.", "Legal Compliance – Complying with our fiduciary and legal obligations is extremely important to the Firm. We employ an outside consultant who monitors the Firm’s disclosures, filings, and operations. Separately, we use a Professional Employment Organization (PEO) that has strict rules on personnel related issues.", Core Plus, Pension, US, "compliance,governance,structure"
"Please provide a summary of your firm’s governance or internal control structure.", "In addition, GIA has adopted policies and procedures for disaster recovery and for continuing GIA’s business in the event of an emergency or a disaster. These policies are designed to allow GIA to resume providing service to its clients as quickly as possible. These policies are, to the extent practicable, designed to address those specific types of disasters that GIA might reasonably face given its business and location. E.J. Franklin. IT Manager, is responsible for data integrity, cybersecurity, and Disaster Recovery and Business Continuity Plans.", Core Plus, Pension, US, "compliance,governance,structure"
"Please describe any potential conflicts of interest your firm and/or any individuals may have in the management of this account. If there are conflicts, please describe how they are addressed.", "None.", Core Plus, Pension, US, "compliance,governance,conflicts"
"Please list your fee schedule for this product.", "For a separately managed Core Plus account, our fee is: 30 bps for the first $25 million, 25 bps for the first $175 million, 20 bps over $200 million", Core Plus, Pension, US, "fees,accounts"
"What is your billing frequency?", "Billing will be on a quarterly basis.", Core Plus, Pension, US, "fees,accounts"
"What is the minimum account your firm will accept? Does your firm charge a minimum annual fee? If so, what is that fee? Will it stay the same or change in the future based on some set formula?", "Our minimum account size is $25 million.", Core Plus, Pension, US, "fees,accounts"
